installed_cap,dam_height,initial_cost,final_cost,planned_dur,actual_dur,rainfall,forest_area_div,dist_road,tunnel length,elevation,damlength,transmission line length cktkm,landowner_displaced,cost_overrun,duration_overrun,geo_prob_landslide,geo_prob_sz,geo_prob_wi,geo_prob_other,contract_EPC,contract_IR,contract_OTHER,retendered_encoded,seismic_encoded,category_encoded,state_encoded,funder_ADB,funder_CG,funder_PFC,funder_SG,funder_OTHER
126.0,26.5,291.0630535,1461.0,5.0,19.5,1300.0,6.6,0.0,4400.0,930.0,100.0,15.4,0.0,401.95309312935524,290.0,0,0,0,1,0,1,0,2.0,5.0,2,0,0,0,1,1,0
1000.0,260.0,477.352734,8392.0,5.0,28.0,1016.0,4705.0,0.0,3660.0,816.0,575.0,200.0,5291.0,1658.0291055796067,459.99999999999994,1,1,0,0,0,1,1,0.0,5.0,3,1,0,1,0,1,1
400.0,97.5,1572.92587,2717.0,5.0,11.5,2000.0,87.0,0.0,593.0,612.0,300.0,38.55,0.0,72.73541314442237,130.0,1,1,0,0,0,1,0,2.0,4.5,2,1,0,1,0,0,1
280.0,56.0,617.7265222,1749.0,8.0,9.0,1200.0,176.5,0.0,5395.0,1348.0,315.0,330.0,0.0,183.1350018404633,12.5,1,0,0,0,0,1,1,0.0,5.0,2,1,0,0,0,0,1
94.2,26.3,198.6009821,379.0,5.0,8.0,1500.0,163.5,2.0,0.0,246.0,475.0,44.57,0.0,90.83490725597977,60.0,0,0,0,1,0,1,0,0.0,4.5,2,1,0,1,0,0,0
304.0,39.0,4189.140207,1714.0,6.0,32.0,1550.0,104.5,0.0,16000.0,1093.0,127.0,63.0,785.0,-59.08468288705334,433.3333333333333,0,0,0,1,0,1,0,2.0,5.0,2,1,0,0,1,0,0
198.0,128.0,15.60417212,172.0,10.0,13.0,1550.0,65.96,3.0,1262.0,365.0,630.0,73.0,0.0,1002.2693077035863,30.0,0,0,0,1,0,1,0,0.0,5.0,2,1,0,0,0,1,0
90.0,39.0,18.79089828,79.34,5.0,11.0,1500.0,65.96,0.0,8630.0,1275.0,127.0,12.0,0.0,322.2256904261205,120.0,0,0,0,1,0,1,0,0.0,5.0,2,1,0,0,0,1,0
120.0,86.0,152.3518679,1307.0,5.75,8.6,1500.0,768.155,0.0,2700.0,631.0,204.0,71.0,335.0,757.8824913770552,49.56521739130434,0,0,0,1,1,0,0,2.0,4.0,2,1,0,0,1,0,0
15.0,3.5,95.03867191,114.5,4.0,11.0,1750.0,4.85,0.5,298.0,1823.0,21.0,14.0,0.0,20.47727277631735,175.0,1,0,0,1,0,0,1,2.0,5.0,1,1,0,0,0,0,1
